city,required_bucket,source_count,example_source_ids,status
london,boundaries_geography,29,gla-statistical-gis-boundaries;ons-geoportal-boundaries;lldc-planning-authority;legislation-uk-london-acts-orders;lon-extra-hm-land-registry-inspire-index-polygons;lon-extra-hm-land-registry-price-paid-data;lon-extra-uk-house-price-index;lon-extra-planning-data-conservation-areas;lon-extra-planning-data-local-plan-boundaries;lon-extra-national-public-transport-gazetteer,covered
london,basemap_physical_features,8,gla-statistical-gis-boundaries;os-open-zoomstack;os-open-map-local;os-open-uprn;ons-geoportal-boundaries;environment-agency-lidar;lon-extra-hm-land-registry-inspire-index-polygons;lon-extra-os-open-greenspace,covered
london,planning_development,44,gla-planning-datahub-applications;gla-london-development-database;gla-opportunity-areas;os-open-map-local;os-open-uprn;historic-england-nhle;mhclg-epc-open-data;camden-open-data-planning-licensing;lldc-planning-authority;legislation-uk-london-acts-orders,covered
london,housing_delivery,5,mhclg-epc-open-data;lon-extra-hm-land-registry-price-paid-data;lon-extra-uk-house-price-index;lon-extra-hackney-open-data;lon-extra-southwark-open-data,covered
london,transport_mobility,31,tfl-unified-api;tfl-roads-open-data;tfl-cycling-data;tfl-road-disruptions;dft-road-traffic-counts;dft-naei-traffic-emissions-context;gla-economics-datastore;ons-business-demography;national-archives-webarchive;legislation-uk-london-acts-orders,covered
london,environment_air_quality,28,mhclg-epc-open-data;tfl-road-disruptions;dft-naei-traffic-emissions-context;gla-economics-datastore;gla-laei;defra-uk-air;environment-agency-flood-water;natural-england-open-data;met-office-haduk-grid;environment-agency-lidar,covered
london,demographics_socioeconomic,5,ons-census-api;nomis-labour-market;gla-population-projections;lon-extra-english-indices-of-deprivation-2019;lon-extra-dwp-stat-xplore,covered
london,economy_business,10,nomis-labour-market;gla-economics-datastore;ons-business-demography;lon-extra-hm-land-registry-price-paid-data;lon-extra-uk-house-price-index;lon-extra-voa-non-domestic-rating-list-business-floorspace;lon-extra-orr-estimates-of-station-usage;lon-extra-food-hygiene-rating-scheme-api;lon-extra-companies-house-api-and-bulk-data;lon-extra-charity-commission-full-register-download,covered
london,public_services_civic_assets,29,tfl-unified-api;tfl-roads-open-data;tfl-cycling-data;tfl-road-disruptions;dft-road-traffic-counts;dft-naei-traffic-emissions-context;police-data-api;nhs-ods-api;dfe-gias;london-fire-brigade-incidents,covered
london,policy_governance,45,gla-planning-datahub-applications;gla-london-development-database;gla-london-plan;gla-opportunity-areas;tfl-road-disruptions;camden-open-data-planning-licensing;lldc-planning-authority;national-archives-webarchive;legislation-uk-london-acts-orders;lon-extra-planning-data-brownfield-land,covered
london,imagery_historical,9,gla-statistical-gis-boundaries;os-open-zoomstack;ons-geoportal-boundaries;environment-agency-lidar;national-archives-webarchive;legislation-uk-london-acts-orders;lon-extra-ukceh-land-cover-maps;lon-extra-national-library-of-scotland-georeferenced-maps-api;lon-extra-historic-england-aerial-photo-explorer-archive,covered
london,source_provenance,68,mhclg-epc-open-data;tfl-unified-api;tfl-roads-open-data;tfl-cycling-data;tfl-road-disruptions;dft-naei-traffic-emissions-context;ons-census-api;ons-geoportal-boundaries;natural-england-open-data;police-data-api,covered
new_york,boundaries_geography,10,inkn-q76z;2v4z-66xt;9nt8-h7nd;mm69-vrje;mxbm-493w;shkv-c3w7;ruf7-3wgc;5crt-au7u;872g-cjhh;jgqm-ccbd,covered
new_york,basemap_physical_features,20,64uk-42ks;f888-ni5f;new-003-bytes-of-the-big-apple-archived-pluto-mappluto-releases;as9z-kwsh;bymk-vktx;inkn-q76z;2v4z-66xt;ji82-xba5;9nt8-h7nd;q68s-8qxv,covered
new_york,planning_development,37,64uk-42ks;f888-ni5f;new-003-bytes-of-the-big-apple-archived-pluto-mappluto-releases;hgx4-8ukb;2iga-a6mk;6umk-irkx;8zyi-kxay;br6q-ssj3;ic3t-wcy2;w9ak-ipjd,covered
new_york,housing_delivery,9,6umk-irkx;8zyi-kxay;br6q-ssj3;bs8b-p36w;pkdm-hqz6;hg8x-zxpr;hq68-rnsi;ygpa-z7cr;6z8x-wfk4,covered
new_york,transport_mobility,38,c9sj-fmsg;tqtj-sjs8;i6b5-j7bu;ezy6-djsf;as9z-kwsh;bymk-vktx;7ym2-wayt;btm5-ppia;i4gi-tjb9;h9gi-nx95,covered
new_york,environment_air_quality,34,c9sj-fmsg;tqtj-sjs8;i6b5-j7bu;ezy6-djsf;as9z-kwsh;bymk-vktx;2v4z-66xt;erm2-nwe9;b7aj-ck5a;c3uy-2p5r,covered
new_york,demographics_socioeconomic,9,8zyi-kxay;wgnh-qwsg;8cwr-7pqn;swpk-hqdp;9nt8-h7nd;new-044-u-s-census-api-decennial-census-and-acs;new-045-lehd-origin-destination-employment-statistics-lodes;uvpi-gqnh;new-055-epa-ejscreen-and-environmental-justice-data,covered
new_york,economy_business,12,6z8x-wfk4;new-035-tlc-trip-record-data;43nn-pn8j;new-044-u-s-census-api-decennial-census-and-acs;new-045-lehd-origin-destination-employment-statistics-lodes;w7w3-xahh;ptev-4hud;92iy-9c3n;cqsj-cfgu;ebb7-mvp5,covered
new_york,public_services_civic_assets,43,eabe-havv;hg8x-zxpr;hq68-rnsi;ygpa-z7cr;6z8x-wfk4;c9sj-fmsg;tqtj-sjs8;as9z-kwsh;bymk-vktx;7ym2-wayt,covered
new_york,policy_governance,23,64uk-42ks;f888-ni5f;new-003-bytes-of-the-big-apple-archived-pluto-mappluto-releases;hgx4-8ukb;2iga-a6mk;6umk-irkx;8zyi-kxay;br6q-ssj3;hg8x-zxpr;hq68-rnsi,covered
new_york,imagery_historical,21,new-003-bytes-of-the-big-apple-archived-pluto-mappluto-releases;bty7-2jhb;bymk-vktx;btm5-ppia;gua4-p9wg;inkn-q76z;2v4z-66xt;q68s-8qxv;new-054-nyc-orthoimagery-aerial-imagery-archives;ipkp-snf6,covered
new_york,source_provenance,86,hgx4-8ukb;2iga-a6mk;bty7-2jhb;new-044-u-s-census-api-decennial-census-and-acs;5xsi-dfpx;new-054-nyc-orthoimagery-aerial-imagery-archives;new-056-epa-air-quality-system-aqs-api;5zhs-2jue;ipkp-snf6;skyk-mpzq,covered
