city,bucket,source_count,mvp_source_count
london,basemap_physical_features,4,2
london,boundaries_geography,3,3
london,demographics_socioeconomic,4,4
london,economy_business,3,1
london,environment_air_quality,5,4
london,housing_delivery,2,2
london,imagery_historical,2,0
london,planning_development,2,2
london,policy_governance,4,3
london,public_services_civic_assets,3,3
london,source_provenance,2,2
london,transport_mobility,12,12
new_york,basemap_physical_features,4,4
new_york,boundaries_geography,6,5
new_york,demographics_socioeconomic,1,1
new_york,economy_business,2,0
new_york,environment_air_quality,5,3
new_york,housing_delivery,4,4
new_york,imagery_historical,2,0
new_york,planning_development,6,6
new_york,policy_governance,4,4
new_york,public_services_civic_assets,3,3
new_york,source_provenance,1,1
new_york,transport_mobility,16,16
